,Cluster ID,confidence_score,Id,Site Name,Description,Address,City,State,ZIP,Phone Number,URL,Ages Served,Ages 0-3,Ages 3-5,Weekday Availability,Duration/Hours,Program Information,Languages other than English,Other Features,Accreditation,Quality,Quality Rating,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
452,0,0.5432174739935067,229,One Hope United - Bridgeport Child Development Center II,"<p>Bridgeport Child Development Center II, an annex to the South Loop's Bridgeport Child Development Center, offers five spacious, inviting classrooms rich with materials and activities for children ages 2-12 years old, including those with special needs. Bridgeport II also features a studio, where children participate in music and fine and culinary arts. The center is accredited by the National Association for the Education of Young Children (NAEYC) and has served the local community with the highest quality early education and care for the past four years.</p>",514 W 31st St,Chicago,IL,60616,(312) 949-4015,http://www.onehopeunited.org/bridgeport-child-development-center-2/,2 years to 12 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.838191,-87.639651,"{'latitude': '41.838191', 'longitude': '-87.639651'}",26.0,21194,58.0,155.0,48.0
454,0,0.5432174739935067,368,One Hope United - Wings,"<p>One Hope United Wings services help new parents adjust to the responsibilities of parenthood.  Target for new and expecting parents, Wings promotes positive parent-child interactions.  It works to enhance family functioning, build trusting relationships and teach problem-solving skills.  The purpose of this service is to prevent child abuse and neglect..  Specific Services Offered:  In home visitation based on family need.  Assessment of family's strength and needs. Parent support and education. Assistance in family physical and mental health.  Pregnancy education. Assistance in locating education opportunities, and assistance in accessing community resources.</p>",707 E 47th St,Chicago,IL,60653,(312) 949-5590,http://www.onehopeunited.org,0-3,True,False,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.809476,-87.60871,"{'latitude': '41.809476', 'longitude': '-87.60871'}",1.0,4301,4.0,165.0,10.0
157,1,0.87211114,293,First Start Children's Academy,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with First Start Academy.  Through this partnership, First Start Academy offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",4753 W Washington Blvd,Chicago,IL,60644,(773) 379-4928,,2 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,silver,Silver,41.881796,-87.744602,"{'latitude': '41.881796', 'longitude': '-87.744602'}",11.0,22216,26.0,696.0,23.0
158,1,0.87211114,294,First Start Children's Academy South,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with First Start.  Through this partnership, First Start offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",5700 S Ashland Ave,Chicago,IL,60636,(773) 778-4850,,0 years to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.7903,-87.664695,"{'latitude': '41.7903', 'longitude': '-87.664695'}",44.0,22257,65.0,385.0,2.0
341,2,0.871210751023108,342,Kiddy Kare Learning Centers - Little Tykes I,<p>Little Tykes II daycare aims to provide quality Early Childhood Education for the community in which it serves.  Our goal is to come along side families in supporting their children's education. We strive to build skills that will support lifelong learning as well as kind and productive citizens. Our diverse staff is highly qualified and well trained and is always seeking new ideas to support children in their learning.</p>,1711 W 35th St,Chicago,IL,60609,(773) 254-7710,http://www.kiddykaredaycare.com,2 years to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,Awards of Excellence,silver,Silver,41.830198,-87.668449,"{'latitude': '41.830198', 'longitude': '-87.668449'}",26.0,14924,56.0,721.0,1.0
342,2,0.871210751023108,341,Kiddy Kare Learning Centers - Little Tykes II,<p>Little Tykes II daycare aims to provide quality Early Childhood Education for the community in which it serves.  Our goal is to come along side families in supporting their children's education. We strive to build skills that will support lifelong learning as well as kind and productive citizens. Our diverse staff is highly qualified and well trained and is always seeking new ideas to support children in their learning.</p>,1723 W 35th St,Chicago,IL,60609,(773) 579-1791,http://www.kiddykaredaycare.com,15 months to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.830192,-87.668901,"{'latitude': '41.830192', 'longitude': '-87.668901'}",26.0,14924,56.0,721.0,1.0
346,3,0.62277704,327,Lake Shore Schools,"<p>Lake Shore Schools has been providing high-quality early child care services for over 60 years. We operate two child-care sites within a mile of each other and provide childcare services from infancy through 15 years of age.  To accommodate families that have children attending programs at both sites, a single drop-off location is available with transportation offered between programs. Children regularly engage in activities that celebrate their ethnic diversity (teachers plan activities to promote diversity, students attend cultural field trips, school hosts cultural nights, etc.).  Through these experiences, children learn to respect and appreciate the differences that make each child unique.</p>",5611 N Clark St,Chicago,IL,60660,(773) 561-6707,http://www.lakeshoreschoolschicago.com,6 weeks - 3 1/2 years,True,False,"Full Week, Full Day",,Community Based,,Accepts CCAP,"NAEYC, NECPA",gold,Gold,41.983922,-87.668488,"{'latitude': '41.983922', 'longitude': '-87.668488'}",40.0,4451,76.0,539.0,16.0
347,3,0.62277704,326,Lake Shore Schools - Greenview,"<p>Lake Shore Schools has been providing high-quality early child care services for over 60 years. We operate two child-care sites within a mile of each other and provide childcare services from infancy through 15 years of age.  To accommodate families that have children attending programs at both sites, a single drop-off location is available with transportation offered between programs. Children regularly engage in activities that celebrate their ethnic diversity (teachers plan activities to promote diversity, students attend cultural field trips, school hosts cultural nights, etc.).  Through these experiences, children learn to respect and appreciate the differences that make each child unique.</p>",6769 N Greenview Ave,Chicago,IL,60626,(773) 743-1118,http://www.lakeshoreschoolschicago.com,3 years to 14 years,False,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,,licensed,Licensed,42.004845,-87.668118,"{'latitude': '42.004845', 'longitude': '-87.668118'}",46.0,21853,10.0,358.0,5.0
400,4,0.6057563356885636,352,Mary Crane Center - Molade Center,"<p>The Mary Crane Center promotes the comprehensive early development of children through school-readiness programs, personal enrichment activities, and family support services.</p>",1120 N Lamon Ave,Chicago,IL,60651,(773) 287-7365,http://www.marycrane.org,2 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.901559,-87.748813,"{'latitude': '41.901559', 'longitude': '-87.748813'}",4.0,4299,26.0,585.0,45.0
401,4,0.6057563356885636,984,Mary Crane Center - Morse,,1545 W Morse Ave,Chicago,IL,60626,(773) 262-1390,http://www.marycrane.org,2 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,gold,Gold,42.007589,-87.669543,"{'latitude': '42.007589', 'longitude': '-87.669543'}",3.0,21853,10.0,358.0,5.0
